company_key,ticker,company_name,matched_name,match_type
ARMADAGIDATICARETSANAYIANONIM,ARMGD,Armada Gida Ticaret Sanayi Anonim,Armada Gida Ticaret Sanayi Anonim Sirketi,prefix
ARTEMISHALI,ARTMS,Artemis Halı,Artemis Hali Anonim Sirketi,prefix
ARZUMELEKTRIKLIEVALETLERISAN,ARZUM,Arzum Elektrikli Ev Aletleri San.,Arzum Elektrikli Ev Aletleri Sanayi ve Ticaret A.S.,prefix
ARCELIKAS,ARCLK,Arçelik A.Ş.,Arçelik Anonim Sirketi,exact_canonical
ASCEGAYRIMENKUL,ASGYO,Asce Gayrimenkul,Asce Gayrimenkul Yatirim Ortakligi A.S.,prefix
ASELSAN,ASELS,Aselsan,ASELSAN Elektronik Sanayi ve Ticaret Anonim Sirketi,prefix
ASTORENERJI,ASTOR,Astor Enerji,Astor Enerji A.S.,prefix
ATAGAYRIMENKULYATIRIMORTAKLIGI,ATAGY,Ata GYO,Ata Gayrimenkul Yatirim Ortakligi A.S.,prefix
ATAKEYPATATES,ATAKP,Atakey Patates,Atakey Patates Gida Sanayi ve Ticaret A.S.,prefix
ATAKULEGAYRIMENKULYATIRIMORTAKLIGI,AGYO,Atakule GYO,Atakule Gayrimenkul Yatirim Ortakligi A.S.,prefix
ATLANTISHOLDING,ATSYH,Atlantis Holding,Atlantis Yatirim Holding A.S.,token_subset
ATPTICARIBILGISAYARAGIVEELEKTRIK,HTTBT,Atp Ticari Bilgisayar Ağı ve Elektrik,Hitit Bilgisayar Hizmetleri A.S.,fuzzy_0.656
AVRASYAGAYRIMENKULYATIRIMORTAKLIGI,AVGYO,Avrasya GYO,Avrasya Gayrimenkul Yatirim Ortakligi Anonim Sirketi,prefix
AVRUPAYATIRIM,AVHOL,Avrupa Yatırım,Avrupa Yatirim Holding A.S.,prefix
AVRUPAKENTGAYRIMENKULYATIRIMORTAKLIGI,AVPGY,Avrupakent GYO,Avrupakent Gayrimenkul Yatirim Ortakligi Anonim Sirketi,prefix
AYDEMENERJI,AYDEM,Aydem Enerji,Aydem Yenilenebilir Enerji A.S.,token_subset
AYENENERJIAS,AYEN,Ayen Enerji A.Ş.,Ayen Enerji A.S.,exact_key
AYES,AYES,Ayes,Ayes Celik Hasir Ve Cit Sanayi A.S.,prefix
AYGAZAS,AYGAZ,Aygaz A.Ş.,Aygaz A.S.,exact_key
AZTEKTEKNOLOJIURUNLERI,AZTEK,Aztek Teknoloji Ürünleri,Aztek Teknoloji Urunleri Ticaret Anonim Sirketi,prefix
BIMMAGAZALAR,BIMAS,BIM Mağazalar,BIM Birlesik Magazalar A.S.,token_subset
BMSBIRLESIKMETALSANAYI,BMSTL,BMS Birleşik Metal Sanayi,Bms Birlesik Metal Sanayi ve Ticaret A.S.,prefix
BMSCELIK,BMSCH,BMS Çelik,Bms Celik Hasir Sanayi Ve Ticaret Anonim Sirketi,prefix
BAGFASBANDIRMAGUBREFAB,BAGFS,Bagfaş Bandırma Gübre Fab.,Bagfas Bandirma Gubre Fabrikalari A.S.,prefix
BAHADIRKIMYA,BAHKM,Bahadır Kimya,Bahadir Kimya Sanayi ve Ticaret A.S.,prefix
BAKAMBALAJSAN,BAKAB,Bak Ambalaj San.,Bak Ambalaj Sanayi ve Ticaret A.S.,prefix
BALATACILAR,BALAT,Balatacılar,Balatacilar Balatacilik Sanayi Ve Ticaret A.S.,prefix
BANTASBANDIRMA,BNTAS,Bantaş Bandırma,Bantas Bandirma Ambalaj Sanayi ve Ticaret A.S.,prefix
BANVITAS,AKBNK,Banvitas,Akbank T.A.S.,fuzzy_0.706
BAREMAMBALAJSANAYIVETICARETAS,BARMA,Barem Ambalaj Sanayi Ve Ticaret AS,Barem Ambalaj Sanayi ve Ticaret Anonim Sirketi,exact_canonical
BATIEGEGAYRIMENKULYATIRIMORTAKLIGI,BEGYO,Batı Ege GYO,Bati Ege Gayrimenkul Yatirim Ortakligi A.S.,prefix
BATISOKE,BSOKE,Batısöke,Batisöke Söke Çimento Sanayii T.A.S.,prefix
BATICIMBATIANADOLUCIMENTOSANAYII,BTCIM,Batıçim Batı Anadolu Çimento Sanayii,Batiçim Bati Anadolu Çimento Sanayii Anonim Sirketi,prefix
BAYDONERRESTORANLARI,BYDNR,Baydöner Restoranları,Baydoner Restoranlari A.S.,prefix
BAYRAK,BAYRK,Bayrak,Bayrak EBT Taban Sanayi ve Ticaret Anonim Sirketi,prefix
BASKENTDOGALGAZDAGITIMGAYRIMENKUL,BASGZ,Başkent Doğalgaz Dağıtım Gayrimenkul,Baskent Dogalgaz Dagitim Gayrimenkul Yatirim Ortakligi A.S.,prefix
BASTAS,BASCM,Baştaş,Bastas Baskent Cimento Sanayi ve Ticaret A.S.,prefix
BERA,BERA,Bera,Bera Holding A.S.,prefix
BERKOSAN,BRKSN,Berkosan,Berkosan Yalitim Ve Tecrit Maddeleri Üretim Ve Ticaret A.S.,prefix
BESLERGIDAVEKIMYASANAYIVETICARETAS,BESLR,Besler Gida ve Kimya Sanayi ve Ticaret AS,Besler Gida Ve Kimya Sanayi ve Ticaret Anonim Sirketi,exact_canonical
BEYAZFILOOTOKIRALAMAAS,BEYAZ,Beyaz Filo Oto Kiralama A.Ş.,Beyaz Filo Oto Kiralama A.S.,exact_key
BESIKTAS,BJKAS,Beşiktaş,Besiktas Futbol Yatirimlari Sanayi ve Ticaret A.S.,prefix
BIENYAPIURUNLERI,BIENY,Bien Yapı Ürünleri,Bien Yapi Urunleri Sanayi Turizm ve Ticaret A.S.,prefix
BIGMEDYATEKNOLOJIAS,BIGTK,Big Medya Teknoloji AS,Big Medya Teknoloji Anonim Sirketi,exact_canonical
