company_key,ticker,company_name,matched_name,match_type
GOODYEARLASTIKLERI,GOODY,Goodyear Lastikleri,Goodyear Lastikleri T.A.S.,prefix
GRAINTURKHOLDINGAS,GRTHO,Grainturk Holding AS,GRAINTURK Holding A.S.,exact_key
GULERMAKAGIRSANAYIINSAATVETAAHHUTAS,GLRMK,Gulermak Agir Sanayi Insaat ve Taahhut AS,Gulermak Aglr Sanayi Insaat ve Taahhut A.S.,fuzzy_0.971
GURSELTURIZMTASIMACILIK,GRSEL,GÜR-SEL Turizm Taşımacılık,Gür-Sel Turizm Tasimacilik ve Servis Ticaret A.S.,prefix
GOKNURGIDA,GOKNR,Göknur Gıda,Göknur Gida Maddeleri Enerji Imalat Ithalat Ihracat Ticaret ve Sanayi Anonim Sirketi,prefix
GOLTASCIMENTO,GOLTS,Göltaş Çimento,Göltas Göller Bölgesi Cimento Sanayi ve Ticaret A.S.,token_subset
GOZDEGIRISIM,GOZDE,Gözde Girişim,Gozde Girisim Sermayesi Yatirim Ortakligi A.S.,prefix
GULERYATIRIM,GLRYH,Güler Yatırım,Güler Yatirim Holding A.S.,prefix
GUNDOGDUGIDA,GUNDG,Gündoğdu Gıda,Gundogdu Gida Sut Urunleri Sanayi ve Dis Ticaret Anonim Sirketi,prefix
GIPTAOFISKIRTASIYE,GIPTA,Gıpta Ofis Kırtasiye,Gipta Ofis Kirtasiye ve Promosyon Ürünleri Imalat Sanayi A.S.,prefix
HEDEFGIRISIM,HDFGS,HEDEF Girişim,Hedef Girisim Sermayesi Yatirim Ortakligi A.S.,prefix
HACIOMERSABANCIHOLDING,SAHOL,Hacı Ömer Sabancı Holding,Haci Ömer Sabanci Holding A.S.,prefix
HALKGAYRIMENKULYATIRIMORTAKLIGI,HLGYO,Halk GYO,Halk Gayrimenkul Yatirim Ortakligi A.S,prefix
HAREKETPROJETASIMACILIGI,HRKET,Hareket Proje Taşımacılığı,Hareket Proje Tasimaciligi Ve Yuk Muhendisligi Anonim Sirketi,prefix
HATSANGEMIINSAA,HATSN,Hat-San Gemi İnşaa,Hat-San Gemi Insaa Bakim Onarim Deniz Nakliyat Sanayi ve Ticaret Anonim Sirketi,prefix
HATEKS,HATEK,Hateks,Hateks Hatay Tekstil Isletmeleri A.S.,prefix
HEDEFHOLDINGAS,HEDEF,Hedef Holding A.Ş.,Hedef Holding A.S,exact_key
HEKTASTICARET,HEKTS,Hektaş Ticaret,Hektas Ticaret T.A.S.,prefix
HIDROPARHAREKETKONTROLTEKNOLOJILERI,HKTM,Hidropar Hareket Kontrol Teknolojileri,Hidropar Hareket Kontrol Teknolojileri Merkezi Sanayi ve Ticaret A.S.,prefix
HITITBILGISAYARHIZMETLERI,HTTBT,Hitit Bilgisayar Hizmetleri,Hitit Bilgisayar Hizmetleri A.S.,prefix
HOROZLOJISTIK,HOROZ,Horoz Lojistik,Horoz Lojistik Kargo Hizmetleri ve Ticaret Anonim Sirketi,prefix
HUBGIRISIMSERMAYESI,HUBVC,Hub Girişim Sermayesi,Hub Girisim Sermayesi Yatirim Ortakligi A.S.,prefix
HUNYENILENEBILIRENERJI,HUNER,Hun Yenilenebilir Enerji,Hun Yenilenebilir Enerji Üretim A.S.,prefix
HURRIYETGAZETE,HURGZ,Hürriyet Gazete,Hürriyet Gazetecilik ve Matbaacilik A.S.,prefix
ICBCTURKEY,ICBCT,ICBC Turkey,ICBC Turkey Bank A.S.,prefix
ICENTERRA,ENTRA,Ic Enterra,IC Enterra Yenilenebilir Enerji A.S.,prefix
ICUGIRISIMSERMAYESIYATIRIMORTAKLIGIAS,ISGSY,Icu Girisim Sermayesi Yatirim Ortakligi AS,Is Girisim Sermayesi Yatirim Ortakligi AS,fuzzy_0.961
INGRAMMICROBILISIM,INGRM,Ingram Micro Bilisim,Ingram Micro Bilisim Sistemleri Anonim Sirketi,prefix
INNOSATEKNOLOJIAS,INTEK,Innosa Teknoloji AS,Innosa Teknoloji A.S.,exact_key
INVEOYATIRIM,INVEO,Inveo Yatırım,Inveo Yatirim Holding A.S.,prefix
INVESTCOHOLDING,INVES,Investco Holding,Investco Holding A.S.,prefix
IZYATIRIMHOLDING,IZINV,Iz Yatirim Holding,Iz Yatirim Holding A.S.,prefix
ISIKPLASTIK,ISKPL,Işık Plastik,Isik Plastik Sanayi ve Dis Ticaret Pazarlama Anonim Sirketi,prefix
ISIKLARENERJI,IEYHO,Işıklar Enerji,Isiklar Enerji ve Yapi Holding A.S.,prefix
JANTSA,JANTS,Jantsa,Jantsa Jant Sanayi ve Ticaret A.S.,prefix
KAFEINYAZILIM,KFEIN,Kafein Yazılım,Kafein Yazilim Hizmetleri Ticaret A.S.,prefix
KALEKIMKIMYEVIMADDELERSAN,KLKIM,Kalekim Kimyevi Maddeler San.,Kalekim Kimyevi Maddeler Sanayi Ve Ticaret Anonim Sirketi,prefix
KALESERAMIK,KLSER,Kaleseramik,Kaleseramik Canakkale Kalebodur Seramik Sanayi A.S.,prefix
KAPLAMINAMBALAJ,KAPLM,Kaplamin Ambalaj,Kaplamin Ambalaj Sanayi ve Ticaret A.S.,prefix
KARDEMIRDEMIRCELIK,ISDMR,Kardemir Demir Çelik,Iskenderun Demir ve Çelik A.S.,fuzzy_0.762
KAREL,KAREL,Karel,Karel Elektronik Sanayi Ve Ticaret A.S.,prefix
KARSANOTOMOTIV,KARSN,Karsan Otomotiv,Karsan Otomotiv Sanayii ve Ticaret A.S.,prefix
KARSUTEKSTILSANVETICAS,KRTEK,Karsu Tekstil San.Ve Tic. A.Ş.,Karsu Tekstil Sanayii ve Ticaret A.S.,fuzzy_0.846
KARTONSANSANVETICAS,KARTN,Kartonsan San. Ve Tic. A.Ş.,Kartonsan Karton Sanayi ve Ticaret A.S.,fuzzy_0.745
KATMERCILER,KATMR,Katmerciler,Katmerciler Arac Üstü Ekipman Sanayi ve Ticaret A.S.,prefix
KATILIMEVIMTASARRUF,KTLEV,Katılımevim Tasarruf,Katilimevim Tasarruf Finansman Anonim Sirketi,prefix
KAYSERISEKERFABRIKASI,KAYSE,Kayseri Şeker Fabrikası,Kayseri Seker Fabrikasi Anonim Sirketi,prefix
KENTGIDAMAD,KENT,Kent Gıda Mad.,Kent Gida Maddeleri Sanayii ve Ticaret A.S.,prefix
KERVANGIDA,KRVGD,Kervan Gıda,Kervan Gida Sanayi ve Ticaret A.S.,prefix
KERVANSARAY,KERVN,Kervansaray,Kervansaray Yatirim Holding A.S.,prefix
KILERGAYRIMENKULYATIRIMORTAKLIGI,KLGYO,Kiler GYO,Kiler Gayrimenkul Yatirim Ortakligi A.S.,prefix
KILERHOLDING,KLRHO,Kiler Holding,Kiler Holding Anonim Sirketi,prefix
KIMTEKSPOLIURETAN,KMPUR,Kimteks Poliüretan,Kimteks Poliüretan Sanayi ve Ticaret A.S.,prefix
KLIMASANKLIMASAN,KLMSN,Klimasan Klima San.,Klimasan Klima Sanayi ve Ticaret A.S.,prefix
KOCAERCELIK,KCAER,Kocaer Çelik,Kocaer Celik Sanayi ve Ticaret Anonim Sirketi,prefix
KOLEKSIYONMOBILYA,KLSYN,Koleksiyon Mobilya,Koleksiyon Mobilya Sanayi A.S.,prefix
KONFRUT,KNFRT,Konfrut,Konfrut Tarim A.S.,prefix
KONTROLMATIKTEKNOLOJI,KONTR,Kontrolmatik Teknoloji,Kontrolmatik Teknoloji Enerji Ve Muhendislik Anonim Sirketi,prefix
KONYAKAGIT,KONKA,Konya Kağıt,Konya Kagit Sanayi ve Ticaret A.S.,prefix
KONYACIMENTO,KONYA,Konya Çimento,Konya Çimento Sanayii Anonim Sirketi,prefix
KORAYGAYRIMENKULYATIRIMORTAKLIGI,KGYO,Koray GYO,Koray Gayrimenkul Yatirim Ortakligi A.S.,prefix
KORDSATEKNIK,KORDS,Kordsa Teknik,Kordsa Teknik Tekstil A.S.,prefix
KOROPLASTTEMIZLIKAMBALAJ,KRPLS,Koroplast Temizlik Ambalaj,Koroplast Temizlik Ambalaj Ürünleri Sanayi ve Dis Ticaret A.S.,prefix
KOTONMAGAZACILIK,KOTON,Koton Mağazacılık,Koton Magazacilik Tekstil Sanayi ve Ticaret A.S.,prefix
KOZAPOLYESTER,KOPOL,Koza Polyester,Koza Polyester Sanayi ve Ticaret Anonim Sirketi,prefix
KOCHOLDING,KCHOL,Koç Holding,Koç Holding A.S.,prefix
KOCMETALURJI,KOCMT,Koç Metalurji,Koç Metalürji Anonim Sirketi,prefix
KRISTALKOLA,KRSTL,Kristal Kola,Kristal Kola ve Mesrubat Sanayi Ticaret A.S.,prefix
KRONTELHIZAS,KRONT,Kron Tel. Hiz. A.Ş.,Kron Teknoloji A.S.,fuzzy_0.741
KUVVAGIDATICARETVESAN,KUVVA,Kuvva Gıda Ticaret ve San.,Kuvva Gida Ticaret Ve Sanayi Yatirimlari Anonim Sirketi,prefix
KUYASYATIRIM,KUYAS,Kuyaş Yatırım,Kuyas Yatirim A.S.,prefix
KUZEYBORU,KBORU,Kuzey Boru,Kuzey Boru Anonim Sirketi,prefix
KUZUGRUPGAYRIMENKUL,KZGYO,Kuzugrup Gayrimenkul,Kuzugrup Gayrimenkul Yatirim Ortakligi A.S.,prefix
KUSTURKUSADASI,KSTUR,Kuştur Kuşadası,Kustur Kusadasi Turizm Endüstrisi A.S.,prefix
KORFEZGAYRIMENKULYATIRIMORTAKLIGI,KRGYO,Körfez GYO,Körfez Gayrimenkul Yatirim Ortakligi A.S.,prefix
KUTAHYAPORSELENSANAS,KUTPO,Kütahya Porselen San. A.Ş.,Kütahya Porselen Sanayi Anonim Sirketi,fuzzy_0.930
KUTAHYASEKERFABRIKASI,KTSKR,Kütahya Şeker Fabrikası,Kutahya Seker Fabrikasi Anonim Sirketi,prefix
KIRACGALVANIZ,TCKRC,Kıraç Galvaniz,Kirac Galvaniz Telekominikasyon Metal Makine Insaat Elektrik Sanayi ve Ticaret Anonim Sirketi,prefix
KIZILBUKGAYRIMENKULYATIRIMORTAKLIGI,KZBGY,Kızılbük GYO,Kizilbük Gayrimenkul Yatirim Ortakligi A.S.,prefix
LDRTURIZMAS,LIDER,LDR Turizm A.Ş.,LDR Turizm A.S.,exact_key
LIDERFAKTORING,LIDFA,Lider Faktoring,Lider Faktoring A.S.,prefix
LILAKAGIT,LILAK,Lila Kağıt,Lila Kagit Sanayi Ve Ticaret A.S.,prefix
LIMAKDOGUANADOLU,LMKDC,Limak Doğu Anadolu,Limak Dogu Anadolu Cimento Sanayi ve Ticaret Anonim Sirketi,prefix
LINKBILGISAYAR,LINK,Link Bilgisayar,Link Bilgisayar Sistemleri Yazilimi ve Donanimi Sanayi ve Ticaret A.S.,prefix
LOGOYAZSANVETICAS,LOGO,Logo Yaz. San. Ve Tic. A.Ş.,Logo Yazilim Sanayi ve Ticaret A.S.,fuzzy_0.756
LOKMANHEKIM,LKMNH,Lokman Hekim,"Lokman Hekim Engürüsag Saglik, Turizm, Egitim Hizmetleri ve Insaat Taahhüt A.S.",prefix
LORASHOLDINGAS,LRSHO,Loras Holding AS,Loras Holding A.S.,exact_key
LYDIAHOLDINGAS,LYDHO,Lydia Holding AS,Lydia Holding A.S.,exact_key
LYDIAYESILENERJIKAYNAKLARIAS,LYDYE,Lydia Yesil Enerji Kaynaklari AS,Lydia Yesil Enerji Kaynaklari A.S.,exact_key
LUKSKADIFETICVESAN,LUKSK,Lüks Kadife Tic. ve San.,Lüks Kadife Ticaret ve Sanayi A.S.,fuzzy_0.844
MLPSAGLIK,MPARK,MLP Sağlık,MLP Saglik Hizmetleri A.S.,prefix
MAKIMMAKINATEKNOLOJILERI,MAKIM,Makim Makina Teknolojileri,Makim Makina Teknolojileri Sanayi Ve Ticaret A.S.,prefix
MANASENERJIYONETIMISAN,MANAS,Manas Enerji Yönetimi San.,Manas Enerji Yonetimi Sanayi Ve Ticaret Anonim Sirketi,prefix
MARGUNENERJI,MAGEN,Margün Enerji,Margün Enerji Üretim Sanayi ve Ticaret A.S.,prefix
MARKAYATIRIM,MARKA,Marka Yatırım,Marka Yatirim Holding A.S.,prefix
MARMARISALTINYUNUS,MAALT,Marmaris Altınyunus,Marmaris Altinyunus Turistik Tesisler A.S.,prefix
MARSHALLBOYAVEVERNIKSAN,MRSHL,Marshall Boya Ve Vernik San.,Marshall Boya Ve Vernik Sanayii A.S.,prefix
MARTIGAYRIMENKULYATIRIMORTAKLIGI,MRGYO,Martı GYO,Marti Gayrimenkul Yatirim Ortakligi A.S.,prefix
MARTIOTELISLETMELERIAS,MARTI,Martı Otel İşletmeleri A.Ş.,Marti Otel Isletmeleri A.S.,exact_key
MATRIKSBILGI,SMART,Matriks Bilgi,Smartiks Yazilim A.S.,fuzzy_0.690
MAVIGIYIMSANAYI,MAVI,Mavi Giyim Sanayi,Mavi Giyim Sanayi ve Ticaret A.S.,prefix
MAZHARZORLU,MZHLD,Mazhar Zorlu,Mazhar Zorlu Holding A.S.,prefix
MACKOLIKINTERNETHIZMETLERI,MACKO,Maçkolik İnternet Hizmetleri,Mackolik Internet Hizmetleri Ticaret A.S.,prefix
MEDITERATIBBIMALZEMESANAYI,MEDTR,Meditera Tıbbi Malzeme Sanayi,Meditera Tibbi Malzeme Sanayi ve Ticaret Anonim Sirketi,prefix
MEGAMETAL,MEGMT,Mega Metal,Mega Metal Sanayi ve Ticaret A.S.,prefix
MEGAPOLIETILENKOPUK,MEGAP,Mega Polietilen Köpük,Mega Polietilen Köpük Sanayi ve Ticaret Anonim Sirketi,prefix
MENDERESTEKSTIL,MNDRS,Menderes Tekstil,Menderes Tekstil Sanayi ve Ticaret Anonim Sirketi,prefix
MEPETMETRO,MEPET,Mepet Metro,Mepet Metro Petrol ve Tesisleri Sanayi Ticaret A.S.,prefix
MERCANKIMYASANAYI,MERCN,Mercan Kimya Sanayi,Mercan Kimya Sanayi Ve Ticaret Anonim Sirketi,prefix
MERITTURIZMYATIRIMVEISLETME,MERIT,Merit Turizm Yatırım ve İşletme,Merit Turizm Yatirim ve Isletme Anonim Sirketi,prefix
MERKOGIDASANVETICAS,MERKO,Merko Gıda San. Ve Tic. A.Ş.,Merko Gida Sanayi ve Ticaret A.S.,fuzzy_0.844
METROTICVEMALIYATAS,METRO,Metro Tic. Ve Mali Yat. A.Ş.,Metro Ticari ve Mali Yatirimlar Holding A.S.,fuzzy_0.691
METROYATIRIMORTAKLIGI,MTRYO,Metro Yatırım Ortaklığı,Metro Yatirim Ortakligi A.S.,prefix
MHRGAYRIMENKUL,MHRGY,Mhr Gayrimenkul,MHR Gayrimenkul Yatirim Ortakligi Anonim Sirketi,prefix
MIATEKNOLOJI,MIATK,Mia Teknoloji,MIA Teknoloji Anonim Sirketi,prefix
MIGROS,MGROS,Migros,Migros Ticaret A.S.,prefix
MISTRALGAYRIMENKULYATIRIMORTAKLIGI,MSGYO,Mistral GYO,Mistral Gayrimenkul Yatirim Ortakligi A.S.,prefix
MMCSANVETICARIYATAS,MMCAS,Mmc San. Ve Ticari Yat. A.Ş.,MMC Sanayi Ve Ticari Yatirimlar A.S.,fuzzy_0.792
MOBILTELILETISIMHIZMETLERI,MOBTL,Mobiltel İletişim Hizmetleri,Mobiltel Iletisim Hizmetleri Sanayi ve Ticaret A.S.,prefix
MOGANENERJI,MOGAN,Mogan Enerji,Mogan Enerji Yatirim Holding Anonim Sirketi,prefix
MOPASMARKETCILIK,MOPAS,Mopas Marketcilik,Mopas Marketcilik Gida Sanayi ve Ticaret Anonim Sirketi,prefix
NASMEDOZELSAGLIKHIZMETLERI,EGEPO,Nasmed Özel Sağlık Hizmetleri,Nasmed Özel Saglik Hizmetleri Ticaret Anonim Sirketi,prefix
NATURELYENILENEBILIRENERJI,NATEN,Naturel Yenilenebilir Enerji,Naturel Yenilenebilir Enerji Ticaret Anonim Sirketi,prefix
NATURELGAZSANAYI,NTGAZ,Naturelgaz Sanayi,Naturelgaz Sanayi ve Ticaret A.S.,prefix
NETHOLDINGAS,NTHOL,Net Holding A.Ş.,Net Holding A.S.,exact_key
NETASTELEKOM,NETAS,Netaş Telekom,Netas Telekomünikasyon A.S.,prefix
NIGBASBETONSANVETICAS,NIBAS,Niğbaş Beton San. Ve Tic. A.Ş.,Nigbas Nigde Beton Sanayi Ve Ticaret A.S.,fuzzy_0.778
NUHCIMENTO,NUHCM,Nuh Çimento,Nuh Çimento Sanayi A.S.,prefix
NUROLGAYRIMENKULYATIRIMORTAKLIGI,NUGYO,Nurol GYO,Nurol Gayrimenkul Yatirim Ortakligi A.S.,prefix
ODASELEKTRIK,ODAS,ODAŞ Elektrik,Odas Elektrik Üretim Sanayi Ticaret A.S.,prefix
OYAKYATIRIMORTAKLIGI,OYAYO,OYAK YO,Oyak Yatirim Ortakligi AS,prefix
OBAMAKARNA,OBAMS,Oba Makarna,Oba Makarnacilik Sanayi ve Ticaret A.S.,prefix
OBASEBILGISAYARVEDANISMANLIK,OBASE,Obase Bilgisayar ve Danışmanlık,Obase Bilgisayar ve Danismanlik Hizmetleri Ticaret A.S.,prefix
ODINETEKNOLOJI,ODINE,Odine Teknoloji,Odine Solutions Teknoloji Ticaret ve Sanayi A.S.,token_subset
OFISYEMGIDA,OFSYM,Ofis Yem Gıda,Ofis Yem Gida Sanayi ve Ticaret A.S.,prefix
ONCOSEMONKOLOJIKSISTEMLER,ONCSM,Oncosem Onkolojik Sistemler,Oncosem Onkolojik Sistemler Sanayi Ve Ticaret Anonim Sirketi,prefix
ONURYUKSEKTEKNOLOJI,ONRYT,Onur Yüksek Teknoloji,Onur Yuksek Teknoloji Anonim Sirketi,prefix
ORGEENERJIELEKTRIK,ORGE,Orge Enerji Elektrik,Orge Enerji Elektrik Taahhüt Anonim Sirketi,prefix
ORMA,ORMA,Orma,Orma Orman Mahsulleri Integre Sanayi Ve Ticaret A.S.,prefix
ORCAYORTAKOYCAYSANVETIC,ORCAY,Orçay Ortaköy Çay San. ve Tic.,Orçay Ortaköy Çay Sanayi ve Ticaret Anonim Sirketi,fuzzy_0.877
OSMANLIYATIRIM,OSMEN,Osmanlı Yatırım,Osmanli Yatirim Menkul Degerler A.S.,prefix
OSTIM,OSTIM,Ostim,Ostim Endüstriyel Yatirimlar ve Isletme A.S.,prefix
OTOKAR,OTKAR,Otokar,Otokar Otomotiv ve Savunma Sanayi A.S.,prefix
OTTOHOLDING,OTTO,Otto Holding,Otto Holding A.S.,prefix
OYAKYATIRIM,KUYAS,Oyak Yatırım,Kuyas Yatirim A.S.,fuzzy_0.800
OYAKCIMENTO,OYAKC,Oyak Çimento,OYAK Çimento Fabrikalari A.S.,prefix
OYLUMSINAIYATIRIMLAR,OYLUM,Oylum Sınai Yatırımlar,Oylum Sinai Yatirimlar Anonim Sirketi,prefix
PASIFIKTEKNOLOJIAS,PATEK,PASİFİK TEKNOLOJİ A.Ş.,Pasifik Teknoloji A.S.,exact_key
PCILETISIMVEMEDYAHIZMETLERI,PCILT,PC İletişim ve Medya Hizmetleri,PC Iletisim ve Medya Hizmetleri Sanayi Ticaret A.S.,prefix
PAMUKOVAYENILENEBILIRELEKTRIK,PAMEL,Pamukova Yenilenebilir Elektrik,Pamukova Yenilenebilir Elektrik Uretim A.S.,prefix
PANELSANCATICEPHESISTEMLERI,PNLSN,Panelsan Çatı Cephe Sistemleri,Panelsan Cati Cephe Sistemleri Sanayi Ve Ticaret A.S.,prefix
PANORAGAYRIMENKULYATIRIMORTAKLIGI,PAGYO,Panora GYO,Panora Gayrimenkul Yatirim Ortakligi A.S.,prefix
PAPILONSAVUNMA,PAPIL,Papilon Savunma,Papilon Savunma Teknoloji ve Ticaret A.S.,prefix
PARDUSGIRISIMSERMAYESIYATIRIM,PRDGS,Pardus Girişim Sermayesi Yatırım,Pardus Girisim Sermayesi Yatirim Ortakligi Anonim Sirketi,prefix
PARKELEKTRIK,PRKME,Park Elektrik,Park Elektrik Üretim Madencilik Sanayi ve Ticaret A.S.,prefix
PARSANMAKINAPARCALARISANAYII,PARSN,Parsan Makina Parçaları Sanayii,Parsan Makina Parçalari Sanayii A.S.,prefix
PASIFIKEURASIALOJISTIK,PASEU,Pasifik Eurasia Lojistik,Pasifik Eurasia Lojistik Dis Ticaret A.S.,prefix
PASIFIKGAYRIMENKULYATIRIMORTAKLIGI,PSGYO,Pasifik GYO,Pasifik Gayrimenkul Yatirim Ortakligi A.S.,prefix
PEGASUSHAVATASIMACILIGI,PGSUS,Pegasus Hava Taşımacılığı,Pegasus Hava Tasimaciligi Anonim Sirketi,prefix
PEKERGAYRIMENKULYATIRIMORTAKLIGI,PEKGY,Peker GYO,Peker Gayrimenkul Yatirim Ortakligi Anonim Sirketi,prefix
PENGUENGIDASANAS,PENGD,Penguen Gıda San. A.Ş.,Penguen Gida Sanayi A.S.,fuzzy_0.914
PENTATEKNOLOJI,PENTA,Penta Teknoloji,Penta Teknoloji Urunleri Dagitim Ticaret A.S.,prefix
PERGAMONSTATUS,PSDTC,Pergamon Status,Pergamon Status Dis Ticaret A.S.,prefix
PETKIM,PETKM,Petkim,Petkim Petrokimya Holding Anonim Sirketi,prefix
PETROKENTTURIZMAS,PKENT,Petrokent Turizm A.Ş.,Petrokent Turizm A.S.,exact_key
PLASTIKKART,PKART,Plastikkart,Plastikkart Akilli Kart Iletisim Sistemleri Sanayi ve Ticaret A.S.,prefix
PLATFORMTURIZMTASIMACILIKGIDA,PLTUR,Platform Turizm Taşımacılık Gıda,Platform Turizm Tasimacilik Gida Insaat Temizlik Hizmetleri Sanayi ve Ticaret Anonim Sirketi,prefix
POLISANHOLDINGAS,POLHO,Polisan Holding A.Ş.,Polisan Holding A.S.,exact_key
POLITEKNIKMETAL,POLTK,Politeknik Metal,Politeknik Metal Sanayi ve Ticaret Anonim Sirketi,prefix
PRIZMAPRES,PRZMA,Prizma Pres,Prizma Pres Matbaacilik Yayincilik Sanayi ve Ticaret A.S.,prefix
PINARETVEUNSANAS,PETUN,Pınar Et Ve Un San. A.Ş.,Pinar Entegre Et ve Un Sanayii A.S.,fuzzy_0.744
PINARSUSANVETICAS,PINSU,Pınar Su San. Ve Tic. A.Ş.,Pinar Su ve Icecek Sanayi ve Ticaret A.S.,fuzzy_0.696
PINARSUTMAMULLERI,PNSUT,Pınar Süt Mamulleri,Pinar Süt Mamülleri Sanayii A.S.,prefix
QNBFINANS,QNBFK,QNB Finans,QNB Finansal Kiralama A.S.,prefix
QNBBANK,QNBTR,Qnb Bank,QNB Bank A.S.,prefix
QUAGRANITEHAYALYAPIVEURUNLERI,QUAGR,Qua Granite Hayal Yapı ve Ürünleri,QUA Granite Hayal Yapi ve Ürünleri Sanayi Ticaret A.S.,prefix
RTA,RTALB,RTA,RTA Laboratuvarlari Biyolojik Urunler Ilac ve Makine Sanayi Ticaret A.S.,prefix
RAINBOWPOLIKARBONATSANTIC,RNPOL,Rainbow Polikarbonat San. Tic.,Rainbow Polikarbonat Sanayi Ticaret Anonim Sirketi,fuzzy_0.889
RALYATIRIM,RALYH,Ral Yatırım,Ral Yatirim Holding A.S.,prefix
RAYSIGORTAAS,RAYSG,Ray Sigorta A.Ş.,Ray Sigorta Anonim Sirketi,exact_canonical
REEDERTEKNOLOJI,REEDR,Reeder Teknoloji,Reeder Teknoloji Sanayi ve Ticaret Anonim Sirketi,prefix
REYSASGAYRIMENKULYATIRIMORTAKLIGI,RYGYO,Reysaş GYO,Reysas Gayrimenkul Yatirim Ortakligi A.S.,prefix
RODRIGO,RODRG,Rodrigo,Rodrigo Tekstil Sanayi ve Ticaret A.S.,prefix
RUBENISTEKSTIL,RUBNS,Rubenis Tekstil,Rubenis Tekstil Sanayi Ticaret A.S.,prefix
RUZYMADENCILIKVEENERJIYATIRIMLARISANAYIVETI,RUZYE,Ruzy Madencilik ve Enerji Yatirimlari Sanayi ve Ti,Ruzy Madencilik ve Enerji Yatirimlari Sanayi ve Ticaret A.S.,prefix
RONESANSGAYRIMENKULYATIRIMORTAKLIGI,RYGYO,Rönesans GYO,Reysas Gayrimenkul Yatirim Ortakligi A.S.,fuzzy_0.946
SANEL,SANEL,SAN-EL,San-el Mühendislik Elektrik Taahhüt Sanayi ve Ticaret A.S.,prefix
SASAPOLYESTER,SASA,SASA Polyester,Sasa Polyester Sanayi A.S.,prefix
SDTUZAYVESAVUNMATEKNOLOJILERI,SDTTR,SDT Uzay ve Savunma Teknolojileri,SDT Uzay ve Savunma Teknolojileri Anonim Sirketi,prefix
SAFKAREGESOGUTMACILIK,SAFKR,Safkar Ege Soğutmacılık,Safkar Ege Sogutmacilik Klima Soguk Hava Tesisleri Ihracat Ithalat Sanayi ve Ticaret Anonim Sirketi,prefix
SANICAISISANAYI,SNICA,Sanica Isı Sanayi,Sanica Isi Sanayi A.S.,prefix
SANIFOAM,SANFM,Sanifoam,Sanifoam Endustri ve Tuketim Urunleri Sanayi Ticaret A.S.,prefix
SANKOPAZARLAMA,SANKO,Sanko Pazarlama,Sanko Pazarlama Ithalat Ihracat Anonim Sirketi,prefix
SARAYMATBAACILIK,SAMAT,Saray Matbaacılık,Saray Matbaacilik Kagitçilik kirtasiyecilik Ticaret Ve Sanayi A.S.,prefix
SARKUYSANELEKTROLITBAKIRSANAYI,SARKY,Sarkuysan Elektrolit Bakır Sanayi,Sarkuysan Elektrolitik Bakir Sanayi ve Ticaret A.S.,fuzzy_0.868
SAYYENILENEBILIRENERJIEKIPMANLARI,SAYAS,Say Yenilenebilir Enerji Ekipmanları,Say Yenilenebilir Enerji Ekipmanlari Sanayi ve Ticaret A.S.,prefix
SEKUROPLASTIKAMBALAJ,SEKUR,Sekuro Plastik Ambalaj,Sekuro Plastik Ambalaj Sanayi A.S.,prefix
SELVAGIDA,SELVA,Selva Gıda,Selva Gida Sanayi A.S.,prefix
SELCUKECZADEPOSU,SELEC,Selçuk Ecza Deposu,Selçuk Ecza Deposu Ticaret ve Sanayi A.S.,prefix
SERANITGRANITSERAMIKSANAYIVETICARETAS,SERNT,Seranit Granit Seramik Sanayi ve Ticaret AS,Seranit Granit Seramik Sanayi ve Ticaret Anonim Sirketi,exact_canonical
SERVETGAYRIMENKULYATIRIMORTAKLIGI,SRVGY,Servet GYO,Servet Gayrimenkul Yatirim Ortakligi A.S.,prefix
SEYITLERKIMYA,SEYKM,Seyitler Kimya,Seyitler Kimya Sanayi A.S.,prefix
SEGMENKARDESLER,SEGMN,Seğmen Kardeşler,Segmen Kardesler Gida Üretim ve Ambalaj Sanayi Anonim Sirketi,prefix
SILVERLINEENDUSTRI,SILVR,Silverline Endüstri,Silverline Endustri ve Ticaret A.S.,prefix
SINPASGAYRIMENKULYATIRIMORTAKLIGI,SNGYO,Sinpaş GYO,Sinpas Gayrimenkul Yatirim Ortakligi A.S.,prefix
SKYALPFINANSALTEKNOLOJILERVEDANISMANLIKAS,SKYLP,Skyalp Finansal Teknolojiler ve Danismanlik AS,Skyalp Finansal Teknolojiler ve Danismanlik A.S.,exact_key
SMARTGUNESENERJISI,SMRTG,Smart Güneş Enerjisi,Smart Günes Enerjisi Teknolojileri Arastirma ve Gelistirme Üretim Sanayi ve Ticaret A.S.,prefix
SMARTIKSYAZILIM,SMART,Smartiks Yazılım,Smartiks Yazilim A.S.,prefix
SODASSODYUM,SODSN,Sodaş Sodyum,Sodas Sodyum Sanayii A.S.,prefix
SUMASSUNITAHTA,SUMAS,Sumaş Suni Tahta,Sumas Suni Tahta ve Mobilya Sanayi A.S.,prefix
SUMERVARLIKYONETIMAS,SMRVA,Sumer Varlik Yonetim AS,Sumer Varlik Yonetim A.S.,exact_key
SUNTEKSTIL,SUNTK,Sun Tekstil,Sun Tekstil Sanayi ve Ticaret A.S.,prefix
SURTATILGAYRIMENKULYATIRIMORTAKLIGI,SURGY,Sur Tatil GYO,Sur Tatil Evleri Gayrimenkul Yatirim Ortakligi Anonim Sirketi,token_subset
